"category";"total"
"grand_total_t_10m2";3308218028,75079
"building_commercial_industrial";522388839,580402
"building_commercial_innercity";19902429,6464539
"building_highrise";7335246,99078369
"building_lightweight";104569432,414548
"building_multifamily";155598010,248459
"building_singlefamily";1044295938,43124
"building_skyscraper";2548455,65625
"building";1856638382,50448
"other_airport";24606765,8061733
"other_parking";19636665,6668992
"other_remaining_impervious";301638029,051498
"other";345881547,604233
"rail_bridge";1287020,99295044
"rail_other";999515,32723999
"rail_railway";90210701,7094269
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";92771585,0569
"rail_tram";0
"rail_tunnel";274342,347381592
"street_bridge_motorway";8632852,81176758
"street_bridge_other";8087562,62626648
"street_local";554879846,943032
"street_motorway_elevated";2304812,0657959
"street_motorway";159046881,587158
"street_other_elevated";1705724,10697746
"street_primary";97501057,5410843
"street_secondary";93209779,8734283
"street_tertiary";86069681,7723761
"street";1012926798,30121
"street_track";974630,237701416
"street_tunnel";513960,699516296
