"category","total"
"grand_total_t_10m2",1553223033.12345
"building_commercial_industrial",226957574.538548
"building_commercial_innercity",2207157.55503893
"building_highrise",537832.876464844
"building_lightweight",28896792.2671747
"building_multifamily",764815.413331985
"building_singlefamily",100988152.097001
"building_skyscraper",316816.59375
"building",360668849.866197
"other_airport",23582156.8369141
"other_parking",13807134.0416107
"other_remaining_impervious",63276450.3667965
"other",100665751.228868
"rail_bridge",680874.261383057
"rail_other",654662.706912994
"rail_railway",47204008.4984741
"rail_subway_elevated",0
"rail_subway_surface",0
"rail_subway",0
"rail",48630414.9745941
"rail_tram",0
"rail_tunnel",90856.0902099609
"street_bridge_motorway",2489131.08496094
"street_bridge_other",2605685.23036957
"street_local",611158561.813202
"street_motorway_elevated",663356.052368164
"street_motorway",110386522.702637
"street_other_elevated",549557.773004532
"street_primary",126936799.656738
"street_secondary",80704809.7055054
"street_tertiary",72193786.2809296
"street",1043258424.44596
"street_track",35090402.0211835
"street_tunnel",480861.215896606
