"category";"total"
"grand_total_t_10m2";1815057145,41328
"building_commercial_industrial";244772723,565186
"building_commercial_innercity";46463681,5257301
"building_highrise";7286265,06793213
"building_lightweight";51262565,2896514
"building_multifamily";184153852,960695
"building_singlefamily";596014179,160089
"building_skyscraper";3296334,90625
"building";1133250199,08554
"other_airport";12361446,7897949
"other_parking";34001017,6733551
"other_remaining_impervious";128155431,485582
"other";174517772,573931
"rail_bridge";1033413,10678101
"rail_other";721691,490081787
"rail_railway";23026658,5238037
"rail_subway_elevated";1033122,875
"rail_subway_surface";2990023,70019531
"rail_subway";8375620,28125
"rail";38282800,7473755
"rail_tram";8920,4130859375
"rail_tunnel";1093296,61303711
"street_bridge_motorway";7311343,76159668
"street_bridge_other";4218402,19603348
"street_local";237986477,609421
"street_motorway_elevated";1958106,84281921
"street_motorway";83905518,5917664
"street_other_elevated";889691,349730492
"street_primary";42828197,6669006
"street_secondary";36967294,4609985
"street_tertiary";48865438,4432373
"street";469006510,891891
"street_track";2483975,82163358
"street_tunnel";1592042,12749863
